,Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Rating,Continent_company,Sub-region_company,Continent_origin,Sub-region_origin,Manufacturer,Company,isBlend,nutty,fruit,floral,spicy,cocoa,earthy,sweet,sour,roasty,dairy,grass,pungent,dirty,musty,smokey,rubbery,hammy,bland,off,bitter,astringent,C,L,S*,Sa,V
0,U.S.A.,2019.0,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,Americas,Northern America,Africa,Sub-Saharan Africa,5150,5150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1,U.S.A.,2019.0,Dominican Republic,"Zorzal, batch 1",76.0,3.5,Americas,Northern America,Americas,Latin America and the Caribbean,5150,5150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2,U.S.A.,2019.0,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,Americas,Northern America,Africa,Sub-Saharan Africa,5150,5150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3,France,2012.0,Peru,Peru,63.0,3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
4,France,2012.0,Bolivia,Bolivia,70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
5,France,2013.0,Venezuela,Chuao,70.0,4.0,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
6,France,2013.0,Peru,Chanchamayo Province,63.0,4.0,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
7,France,2013.0,Ecuador,Equateur,70.0,3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
8,France,2013.0,Peru,Chanchamayo Province,70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
9,France,2013.0,Brazil,Brazil,70.0,3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
10,France,2013.0,Papua New Guinea,Papua New Guinea,70.0,3.25,Europe,Western Europe,Oceania,Melanesia,A. Morin,A. Morin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
11,France,2013.0,Peru,Piura,70.0,3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
12,France,2013.0,Madagascar,"Madagascar, Criollo",70.0,3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
13,France,2013.0,Burma,Birmanie,70.0,3.0,Europe,Western Europe,Asia,South-eastern Asia,A. Morin,A. Morin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
14,France,2013.0,Panama,Panama,70.0,2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
15,France,2013.0,Colombia,Colombie,70.0,2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
16,France,2014.0,Peru,Pablino,70.0,4.0,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
17,France,2014.0,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0
18,France,2014.0,Cuba,Cuba,70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
19,France,2014.0,Venezuela,"Sur del Lago, Criollo",70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
20,France,2014.0,Venezuela,"Carenero, Criollo",70.0,2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
21,France,2015.0,Togo,Akata,70.0,3.5,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
22,France,2015.0,Peru,Quilla,70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
23,France,2015.0,Togo,Atsane,70.0,3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
24,France,2015.0,Togo,Kpime,70.0,2.75,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
25,France,2016.0,Sao Tome,Agua Grande,63.0,3.75,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
26,France,2018.0,Peru,Absolu,63.0,3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
27,France,2018.0,Venezuela,Porcelana,70.0,3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
28,U.S.A.,2015.0,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
