REF,Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Continent_company,Sub-region_company,Continent_origin,Sub-region_origin,Manufacturer,Company
2454.0,U.S.A.,2019.0,Madagascar,"Bejofo Estate, batch 1",76.0,"3- B,S,C","cocoa, blackberry, full body",3.75,Americas,Northern America,Africa,Sub-Saharan Africa,5150,5150
2458.0,U.S.A.,2019.0,Dominican Republic,"Zorzal, batch 1",76.0,"3- B,S,C","cocoa, vegetal, savory",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,5150,5150
2454.0,U.S.A.,2019.0,Tanzania,"Kokoa Kamili, batch 1",76.0,"3- B,S,C","rich cocoa, fatty, bready",3.25,Americas,Northern America,Africa,Sub-Saharan Africa,5150,5150
797.0,France,2012.0,Peru,Peru,63.0,"4- B,S,C,L","fruity, melon, roasty",3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
797.0,France,2012.0,Bolivia,Bolivia,70.0,"4- B,S,C,L","vegetal, nutty",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1015.0,France,2013.0,Venezuela,Chuao,70.0,"4- B,S,C,L","oily, nut, caramel, raspberry",4.0,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1019.0,France,2013.0,Peru,Chanchamayo Province,63.0,"3- B,S,C","sweet, cocoa, tangerine",4.0,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1011.0,France,2013.0,Ecuador,Equateur,70.0,"4- B,S,C,L","sandy, nutty, cocoa, fig",3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1019.0,France,2013.0,Peru,Chanchamayo Province,70.0,"4- B,S,C,L","cocoa,sour,intense tangerine",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1011.0,France,2013.0,Brazil,Brazil,70.0,"4- B,S,C,L",mild tobacco,3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1015.0,France,2013.0,Papua New Guinea,Papua New Guinea,70.0,"4- B,S,C,L","mild fruit, strong smoke",3.25,Europe,Western Europe,Oceania,Melanesia,A. Morin,A. Morin
1019.0,France,2013.0,Peru,Piura,70.0,"4- B,S,C,L","green, nutty, cocoa",3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1011.0,France,2013.0,Madagascar,"Madagascar, Criollo",70.0,"4- B,S,C,L","sticky, red fruit, sour",3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin
1015.0,France,2013.0,Burma,Birmanie,70.0,"4- B,S,C,L","sticky, smokey, grass",3.0,Europe,Western Europe,Asia,South-eastern Asia,A. Morin,A. Morin
1011.0,France,2013.0,Panama,Panama,70.0,"4- B,S,C,L","brief fruit note, earthy, nutty",2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1015.0,France,2013.0,Colombia,Colombie,70.0,"4- B,S,C,L","burnt rubber,alkalyzed notes",2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1319.0,France,2014.0,Peru,Pablino,70.0,"4- B,S,C,L","delicate, hazelnut, brownie",4.0,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1319.0,France,2014.0,Venezuela,"Puerto Cabello, Criollo",70.0,"4- B,S,C,L","astringent, nutty, chocolatey",3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1315.0,France,2014.0,Cuba,Cuba,70.0,"4- B,S,C,L","sliglty dry, papaya",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1315.0,France,2014.0,Venezuela,"Sur del Lago, Criollo",70.0,"4- B,S,C,L","nutty, mild choco, roasty",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1315.0,France,2014.0,Venezuela,"Carenero, Criollo",70.0,"4- B,S,C,L","harsh, leather, earthy",2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1680.0,France,2015.0,Togo,Akata,70.0,"4- B,S,C,L","mild profile, chocolaty, spice",3.5,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin
1704.0,France,2015.0,Peru,Quilla,70.0,"4- B,S,C,L","grainy texture, cocoa, sweet",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1676.0,France,2015.0,Togo,Atsane,70.0,"4- B,S,C,L","roasty, acidic, nutty",3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin
1676.0,France,2015.0,Togo,Kpime,70.0,"4- B,S,C,L","burnt wood, earthy, choco",2.75,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin
1876.0,France,2016.0,Sao Tome,Agua Grande,63.0,"4- B,S,C,L","sweet, chocolatey, vegetal",3.75,Europe,Western Europe,Africa,Sub-Saharan Africa,A. Morin,A. Morin
2206.0,France,2018.0,Peru,Absolu,63.0,"4- B,S,C,L","sweet, dairy, spice, cocoa",3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
2206.0,France,2018.0,Venezuela,Porcelana,70.0,"4- B,S,C,L","alluring aroma, powdery,nutty",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,A. Morin,A. Morin
1462.0,U.S.A.,2015.0,Peru,"Chulucanas, El Platanal, batch 001",70.0,"2- B,S",yellow fruit,3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli
1470.0,U.S.A.,2015.0,Peru,"Tumbes, Norandino",70.0,"2- B,S","intense, nutty, cherry, cocoa",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli
2470.0,U.S.A.,2020.0,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,"2- B,S","hot cocoa, rich, molasses",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli
2462.0,U.S.A.,2020.0,Mexico,"Teapa, Tabasco, batch 2",74.0,"2- B,S","herbal, molasses, hammy",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Acalli,Acalli
705.0,Fiji,2011.0,Fiji,Vanua Levu,88.0,"3- B,S,C","orange, floral, lemon",3.5,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana
705.0,Fiji,2011.0,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,"3- B,S,C",cocoa and powerful tang,3.5,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana
705.0,Fiji,2011.0,Fiji,"Vanua Levu, Toto-A",80.0,"3- B,S,C",spicy and candy-like,3.25,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana
705.0,Fiji,2011.0,Fiji,Vanua Levu,60.0,"3- B,S,C","sweet, sublte strawberry",2.75,Oceania,Melanesia,Oceania,Melanesia,Easy In Ltd,Adi aka Fijiana
2438.0,Vanuatu,2019.0,Vanuatu,"EPI Island, batch E 11/19",70.0,"2- B,S","sandy, woody, spicy, sweet",3.0,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan
2438.0,Vanuatu,2019.0,Vanuatu,"Malo Island, batch Ma20/19",70.0,"2- B,S","basic, sweet, cocoa, woody",2.75,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan
2442.0,Vanuatu,2019.0,Vanuatu,"Santo Island, batch S15/19",70.0,"2- B,S","sweet, cocoa, rubbery",2.75,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan
2438.0,Vanuatu,2019.0,Vanuatu,"Malekula Island, batch M10/19",70.0,"2- B,S","unrefined, sweet, metallic",2.5,Oceania,Melanesia,Oceania,Melanesia,Aelan,Aelan
370.0,Ecuador,2009.0,Ecuador,"Los Rios, Quevedo, Arriba",70.0,"4- B,S,C,V","roasty, nutty, coffee",3.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Gianduja,Aequare
370.0,Ecuador,2009.0,Ecuador,"Los Rios, Quevedo, Arriba",55.0,"4- B,S,C,V","sandy, sweet, banana cream",2.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Gianduja,Aequare
316.0,Mexico,2009.0,Mexico,Tabasco,70.0,"3- B,S,C","gritty, spice, cocoa",3.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Ah Cacao,Ah Cacao
502.0,Switzerland,2010.0,Madagascar,"Madagascar, Ambolikapiky P.",75.0,"4- B,S,C,L","strong pepper, musty",2.75,Europe,Western Europe,Africa,Sub-Saharan Africa,Pralus,Akesson's
508.0,Switzerland,2010.0,Brazil,"Monte Alegre, D. Badero",75.0,"4- B,S,C,L","fatty, intense, woody",2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,Pralus,Akesson's
636.0,Switzerland,2011.0,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,"4- B,S,C,L","hay, nut, berry",3.75,Europe,Western Europe,Asia,South-eastern Asia,Pralus,Akesson's
1061.0,France,2013.0,Venezuela,Chuao,75.0,"5- B,S,C,V,L","sandy, dirt, ashey",2.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse
1173.0,France,2013.0,Peru,"Piura, Perou",75.0,"5- B,S,C,V,L","cardboard, dirt, roasty",2.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse
1215.0,France,2014.0,Madagascar,Madagascar,75.0,"5-B,S,C,V,Sa","citrus, fatty, dairy",3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,Alain Ducasse,Alain Ducasse
1215.0,France,2014.0,Trinidad and Tobago,Trinite,65.0,"6-B,S,C,V,L,Sa","roasty, sweet, savory",2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse
1215.0,France,2014.0,Vietnam,Vietnam,75.0,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",2.75,Europe,Western Europe,Asia,South-eastern Asia,Alain Ducasse,Alain Ducasse
1992.0,France,2017.0,Mexico,"Porcelana, Mexique",75.0,"6-B,S,C,V,L,Sa","strawberry, cream, gateway",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alain Ducasse,Alain Ducasse
1944.0,Netherlands,2017.0,Ecuador,"Winak Coop, Napo",70.0,"3- B,S,C","sandy, green, floral",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alexandre,Alexandre
1944.0,Netherlands,2017.0,Nicaragua,"La Dalia, Matagalpa",70.0,"3- B,S,C","sandy, sweet, nibby",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Alexandre,Alexandre
1944.0,Netherlands,2017.0,Tanzania,"Makwale Village, Kyela",70.0,"3- B,S,C","sandy, melon, banana",3.5,Europe,Western Europe,Africa,Sub-Saharan Africa,Alexandre,Alexandre
1944.0,Netherlands,2017.0,Vietnam,Tien Giang,70.0,"3- B,S,C","sandy, sweet, roasty",3.5,Europe,Western Europe,Asia,South-eastern Asia,Alexandre,Alexandre
1129.0,U.S.A.,2013.0,Bolivia,"Bolivia, batch 101",80.0,"4- B,S,C,L","gritty, berry, mild bitter",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1133.0,U.S.A.,2013.0,Peru,"Peru, batch 148",60.0,"4- B,S,C,L","gritty, too sweet, fruit",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1125.0,U.S.A.,2013.0,Dominican Republic,"Conacado, batch 130",60.0,"4- B,S,C,L","sandy, sweet, dairy, spice",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1133.0,U.S.A.,2013.0,Bolivia,"Bolivia, batch 154",60.0,"4- B,S,C,L","grit, sweet, caramel, fruit",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
